osmid,y,x,street_count,highway,geometry,elevation
11727964062,26.6824693,88.4410426,1,,POINT (88.4410426 26.6824693),113.0
11727964063,26.6823933,88.4410572,1,,POINT (88.4410572 26.6823933),113.0
11727964064,26.6823053,88.4410649,1,,POINT (88.4410649 26.6823053),113.0
11727964065,26.6822208,88.44108,1,,POINT (88.44108 26.6822208),113.0
11727964066,26.6826291,88.4424365,1,,POINT (88.4424365 26.6826291),113.0
11727964067,26.6825477,88.4424491,1,,POINT (88.4424491 26.6825477),113.0
11727964068,26.6824665,88.4424626,1,,POINT (88.4424626 26.6824665),113.0
11727969369,26.6823794,88.4424789,1,,POINT (88.4424789 26.6823794),113.0
11727969370,26.682616,88.4437595,1,,POINT (88.4437595 26.682616),113.0
11727969371,26.6825259,88.4437714,1,,POINT (88.4437714 26.6825259),113.0
11727969372,26.6827779,88.4437354,1,,POINT (88.4437354 26.6827779),113.0
11727969373,26.682692,88.4437496,1,,POINT (88.4437496 26.682692),113.0
11727969374,26.6829851,88.444281,3,,POINT (88.444281 26.6829851),113.0
11727969375,26.6829732,88.4442824,3,,POINT (88.4442824 26.6829732),113.0
11727969376,26.683148,88.4442636,1,,POINT (88.4442636 26.683148),113.0
11727969377,26.6829159,88.4442918,1,,POINT (88.4442918 26.6829159),113.0
11727969378,26.6826478,88.4440356,1,,POINT (88.4440356 26.6826478),113.0
11727969379,26.6825573,88.4440479,1,,POINT (88.4440479 26.6825573),113.0
11727969380,26.6828101,88.4440162,1,,POINT (88.4440162 26.6828101),113.0
11727969381,26.6827231,88.4440298,1,,POINT (88.4440298 26.6827231),113.0
11727969382,26.6831174,88.443991,1,,POINT (88.443991 26.6831174),113.0
11727969383,26.6839873,88.4440556,1,,POINT (88.4440556 26.6839873),114.0
11727969384,26.6839018,88.4440678,1,,POINT (88.4440678 26.6839018),114.0
11728017071,26.6845247,88.4413178,1,,POINT (88.4413178 26.6845247),113.0
11925245599,26.6825536,88.447461,1,,POINT (88.447461 26.6825536),114.0
11925245605,26.6811571,88.4484548,1,,POINT (88.4484548 26.6811571),112.0
11925245619,26.6821767,88.4480665,1,,POINT (88.4480665 26.6821767),113.0
11925245621,26.6822708,88.4478271,3,,POINT (88.4478271 26.6822708),114.0
12012152659,26.6903842,88.4112148,3,,POINT (88.4112148 26.6903842),118.0
12012152660,26.6903701,88.4113369,3,,POINT (88.4113369 26.6903701),118.0
12012152661,26.6903702,88.4120714,3,,POINT (88.4120714 26.6903702),118.0
12012152662,26.6904724,88.4120745,3,,POINT (88.4120745 26.6904724),118.0
12012152663,26.690166,88.4115265,3,,POINT (88.4115265 26.690166),118.0
12012152664,26.690286,88.4114563,3,,POINT (88.4114563 26.690286),118.0
12012152665,26.690638,88.4121092,3,,POINT (88.4121092 26.690638),118.0
12012152666,26.6907043,88.4121909,3,,POINT (88.4121909 26.6907043),118.0
12012152674,26.6913505,88.4116394,1,,POINT (88.4116394 26.6913505),118.0
12012152682,26.6899222,88.413531,1,,POINT (88.413531 26.6899222),118.0
12012152703,26.6910075,88.4112124,3,,POINT (88.4112124 26.6910075),118.0
12012152704,26.6910077,88.4113712,3,,POINT (88.4113712 26.6910077),118.0
12012152705,26.6911767,88.4117427,3,,POINT (88.4117427 26.6911767),118.0
12012152706,26.6911081,88.4116381,3,,POINT (88.4116381 26.6911081),118.0
12012152708,26.6912749,88.4112114,1,,POINT (88.4112114 26.6912749),118.0
12012152731,26.689812,88.4133359,1,,POINT (88.4133359 26.689812),118.0
12014435224,26.7069483,88.4313773,1,,POINT (88.4313773 26.7069483),121.0
12015358639,26.7402125,88.4126273,1,,POINT (88.4126273 26.7402125),123.0
12015358642,26.7407435,88.4127339,3,,POINT (88.4127339 26.7407435),123.0
12015358643,26.7406112,88.4135552,1,,POINT (88.4135552 26.7406112),123.0
12015358644,26.7408792,88.4118909,1,,POINT (88.4118909 26.7408792),122.0
12032787269,26.7224115,88.4232629,3,,POINT (88.4232629 26.7224115),121.0
12032787270,26.7222426,88.4232906,3,,POINT (88.4232906 26.7222426),121.0
12032787271,26.7213443,88.4230659,3,,POINT (88.4230659 26.7213443),121.0
12032787304,26.7231605,88.4234606,1,,POINT (88.4234606 26.7231605),119.0
12032787305,26.7225704,88.4231376,3,,POINT (88.4231376 26.7225704),121.0
12032787306,26.7225868,88.4230922,3,,POINT (88.4230922 26.7225868),121.0
12032787315,26.7230383,88.4230998,1,,POINT (88.4230998 26.7230383),119.0
12032787316,26.722618,88.4232905,3,,POINT (88.4232905 26.722618),121.0
12032787318,26.7223726,88.4237611,3,,POINT (88.4237611 26.7223726),121.0
12032787319,26.7220355,88.423706,3,,POINT (88.423706 26.7220355),121.0
12032787320,26.7221763,88.4233474,3,,POINT (88.4233474 26.7221763),121.0
12032787321,26.7215686,88.4234384,3,,POINT (88.4234384 26.7215686),121.0
12032787322,26.7218163,88.4231637,3,,POINT (88.4231637 26.7218163),121.0
12032787328,26.721898,88.4231409,3,,POINT (88.4231409 26.721898),121.0
12032787334,26.7218035,88.4231121,3,,POINT (88.4231121 26.7218035),121.0
12032787340,26.7221513,88.4232766,3,,POINT (88.4232766 26.7221513),121.0
12032787366,26.7224998,88.4233643,3,,POINT (88.4233643 26.7224998),121.0
12032787380,26.7229087,88.4234779,3,,POINT (88.4234779 26.7229087),121.0
12032787392,26.7228842,88.4241525,1,,POINT (88.4241525 26.7228842),121.0
12032787417,26.7227472,88.4238086,3,,POINT (88.4238086 26.7227472),121.0
12032787426,26.721253,88.4231454,3,,POINT (88.4231454 26.721253),121.0
12032787435,26.721359,88.4231075,3,,POINT (88.4231075 26.721359),121.0
12032787439,26.7213006,88.423174,3,,POINT (88.423174 26.7213006),121.0
12033487152,26.7150697,88.4231364,1,,POINT (88.4231364 26.7150697),131.0
12033487159,26.7148021,88.4225244,1,,POINT (88.4225244 26.7148021),127.0
12035338817,26.6844379,88.4439439,1,,POINT (88.4439439 26.6844379),114.0
12035338821,26.6843533,88.4423871,1,,POINT (88.4423871 26.6843533),113.0
12035338859,26.6857887,88.4423027,4,,POINT (88.4423027 26.6857887),115.0
12035338861,26.6852816,88.4420713,1,,POINT (88.4420713 26.6852816),113.0
12035338862,26.6857286,88.4415152,1,,POINT (88.4415152 26.6857286),115.0
12035338863,26.6858553,88.4431771,3,,POINT (88.4431771 26.6858553),115.0
12035338865,26.6865318,88.4433733,1,,POINT (88.4433733 26.6865318),115.0
12035471869,26.6858303,88.4422993,1,,POINT (88.4422993 26.6858303),115.0
